amount,time_of_day,velocity,device_age,location_dev,is_new_merchant,is_fraud
18733.26054117965,18,1,245,0.8906042828153832,1,0
47536.20817743171,7,4,288,0.5517615591668783,1,0
36602.37715115214,6,3,66,0.10482622712066514,0,0
29936.93762500986,15,4,868,0.28840693194913525,0,0
7809.371835717401,18,5,153,0.9835527488777746,1,0
7808.16607160677,5,0,491,0.5930574264039231,0,0
2913.599772288291,19,3,435,0.29140488689984545,1,0
43310.14552728901,20,2,703,0.42634566136599417,0,0
30059.73943704301,10,1,218,0.2584747794353349,1,0
35406.548164024316,4,1,429,0.0318042571195396,0,0
1039.0188698471643,15,1,502,0.8420300321520541,1,0
48495.7935095781,6,4,666,0.292478641707996,1,0
41623.807613613084,4,5,789,0.8384107388550119,0,1
10624.832142807025,10,0,594,0.4785570667139234,1,0
9099.43011068296,14,2,221,0.1828946369476272,1,0
9178.391447573156,2,2,435,0.8018686932046586,0,0
15219.069725547291,4,5,280,0.3771114810557945,1,0
26242.57401729557,22,0,623,0.7077291878066204,1,0
21602.931481919368,20,0,92,0.8372296690287324,1,1
14568.544718500116,4,4,524,0.9629856563438537,1,1
30596.526207171748,8,3,139,0.08581453258624194,0,0
6983.298093995571,14,2,667,0.008386481840437332,1,0
14614.310980275555,2,4,23,0.5484249815224475,1,0
18324.42854625165,5,1,417,0.2642409618750001,1,0
22808.938511009626,16,1,976,0.4691017897435763,1,0
39260.94631003675,20,1,732,0.07265868715610746,0,0
9991.692370096403,7,1,348,0.5015890466733597,1,0
25716.579576296444,20,1,237,0.1248556531781404,0,0
29624.804297413502,10,3,765,0.8385877581990512,0,0
2332.0561318726864,5,1,934,0.7594868026364567,1,0
30381.167146552903,7,2,183,0.07407357821724214,0,0
8534.500943127703,9,2,508,0.8363503547279342,1,0
3261.929133334123,23,1,198,0.3249584924246226,1,0
47444.788007294126,2,6,682,0.3528597428773309,1,1
48281.94533339722,22,2,123,0.17980357424156157,0,0
40421.783432341894,13,5,925,0.835304121492478,0,0
15237.6423209768,22,3,546,0.4047057638484248,1,0
4892.62897917913,13,0,381,0.0488358706803137,0,0
34214.808995342726,9,0,825,0.966249627826163,0,0
22013.22316204267,11,0,515,0.2558872139608622,0,0
6110.691359890494,5,5,6,0.936177277906472,0,0
24763.893736462396,11,2,304,0.3012383626467605,1,0
1729.0821705497676,22,1,614,0.8314265946981141,1,0
45466.92689991832,13,0,192,0.6642194924591908,1,1
12946.411280184846,1,1,376,0.8612834319895647,0,0
33129.48899485556,8,0,525,0.9761179867028973,1,1
15592.436693709653,9,1,36,0.8714836834566128,1,0
26008.20037867876,16,5,975,0.4036651615000205,1,0
27340.04686437055,16,1,70,0.8145034814951627,0,0
9250.874231721096,2,0,289,0.7116508103070931,0,0
48479.53554195028,18,5,105,0.06160367083165341,0,0
38758.88983982211,0,1,716,0.9297600977376241,1,1
46975.55208879381,11,4,313,0.4659610916268312,1,0
44742.41924787816,6,1,55,0.1344505656962559,1,0
29899.019940766146,3,1,107,0.425378097198146,0,0
46094.49300880561,9,1,653,0.6031412451214775,1,0
4433.740177575456,12,1,737,0.5729461250839096,0,0
9807.183292333068,1,3,307,0.574793646786303,0,0
2270.912172637798,9,3,860,0.25583928315173365,0,0
16273.263234855585,20,2,821,0.632702449421189,1,0
19439.977711577205,21,2,36,0.9074148337776627,0,0
13574.738098377056,3,1,133,0.3886669465516007,1,0
41438.588082504946,17,3,887,0.6305802826201098,0,0
17844.09880141253,4,1,25,0.24398700700724618,1,0
14053.916139272163,18,4,849,0.04828102018870184,0,0
27139.37719708084,1,1,37,0.5857313639194052,1,1
7054.802006488385,11,3,19,0.047549802185225865,1,0
40111.82706789445,16,2,35,0.7235845949204733,0,0
3736.7866775517437,9,1,363,0.6703526978017641,1,0
49344.47796065986,1,2,418,0.3693250189013154,1,1
38614.516017139904,5,4,822,0.41129010964798185,0,0
9943.796919893279,7,2,430,0.9177609364772998,0,0
286.05063500888394,18,2,518,0.013133625523062742,1,0
40774.91680845716,10,1,467,0.563303380822992,0,0
35345.79861894238,11,2,897,0.9233611257344634,1,1
36453.06833036896,8,2,199,0.9139872477695967,0,0
38565.804630830426,1,1,546,0.5846557638246925,0,0
3711.492140187177,7,0,568,0.38122999890959797,0,0
17929.70176992819,10,0,768,0.09890352633237398,1,0
5802.294285661234,20,1,211,0.1737842038123505,0,0
43156.54025952092,3,3,609,0.6796733552036615,1,0
